実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"317,181.1 ","180,025.6 ","177,165.0 ","148,499.4 ","19,672.5 ","44,270.5 ",737.0 ,"52,717.4 ","28,198.4 ",-43.0 ,524.9 ,"25,277.3 ","24,752.5 ","-8,922.1 ",,"5,817.8 ","322,999.0 ","1,704.5 ","5,685.8 ","3,981.3 ","324,703.4 ",,"323,198.7 ","243,188.5 ","80,162.1 ",,"89,983.0 ",,"316,365.1 ",,,
7- 9.,"321,939.3 ","180,608.6 ","177,728.0 ","148,924.5 ","19,602.4 ","46,426.0 ","1,255.2 ","53,205.7 ","28,305.5 ",237.5 ,808.7 ,"24,752.0 ","23,943.4 ","-8,510.3 ",,"5,790.4 ","327,729.7 ","1,773.7 ","5,459.3 ","3,685.6 ","329,503.4 ",,"328,034.1 ","247,136.4 ","81,015.1 ",,"92,523.4 ",,"320,156.8 ",,,
10-12.,"327,337.6 ","184,565.7 ","181,645.9 ","152,524.4 ","19,299.3 ","47,177.9 ","1,616.2 ","53,643.1 ","27,964.7 ",782.8 ,865.5 ,"24,722.2 ","23,856.7 ","-8,577.7 ",,"6,673.0 ","334,010.6 ","1,566.7 ","4,861.8 ","3,295.1 ","335,577.3 ",,"333,686.0 ","252,106.0 ","81,614.5 ",,"92,882.3 ",,"324,604.2 ",,,
1986/ 1- 3.,"327,009.3 ","184,807.9 ","181,833.9 ","152,587.1 ","19,588.7 ","46,978.3 ","2,901.6 ","53,646.5 ","28,979.3 ",-125.0 ,-465.7 ,"23,444.3 ","23,910.0 ","-9,302.2 ",,"7,876.3 ","334,885.6 ","1,515.2 ","4,858.0 ","3,342.9 ","336,400.8 ",,"335,864.6 ","254,098.6 ","81,762.4 ",,"93,725.8 ",,"323,312.1 ",,,
4- 6.,"328,251.9 ","185,961.6 ","182,917.2 ","153,501.8 ","20,261.3 ","48,735.1 ","1,160.5 ","53,283.5 ","29,085.5 ","1,429.4 ","-1,439.9 ","23,954.5 ","25,394.4 ","-10,225.3 ",,"11,813.0 ","340,064.9 ","1,706.5 ","4,831.0 ","3,124.5 ","341,771.4 ",,"338,394.6 ","255,470.6 ","82,982.7 ",,"96,361.3 ",,"325,645.4 ",,,
7- 9.,"330,474.4 ","188,828.7 ","185,720.5 ","156,043.1 ","21,199.8 ","48,822.4 ",701.1 ,"54,665.8 ","30,093.7 ",646.1 ,"-2,814.8 ","23,435.0 ","26,249.8 ","-11,668.3 ",,"14,514.3 ","344,988.7 ","1,520.1 ","4,788.2 ","3,268.1 ","346,508.9 ",,"342,934.1 ","258,423.2 ","84,624.3 ",,"98,017.0 ",,"329,123.1 ",,,
10-12.,"334,615.5 ","189,634.6 ","186,499.6 ","156,663.1 ","21,923.5 ","49,622.5 ",755.2 ,"57,072.5 ","30,503.5 ",-190.2 ,"-2,860.4 ","23,435.6 ","26,296.0 ","-11,845.6 ",,"13,603.3 ","348,218.8 ","1,723.7 ","5,421.2 ","3,697.5 ","349,942.5 ",,"347,278.9 ","260,851.6 ","86,638.0 ",,"99,833.4 ",,"333,838.8 ",,,
1987/ 1- 3.,"335,242.4 ","191,903.8 ","188,778.3 ","158,707.4 ","22,680.5 ","49,668.4 ",-598.4 ,"55,740.5 ","30,770.3 ",-146.7 ,"-2,477.7 ","23,301.1 ","25,778.8 ","-12,298.2 ",,"12,706.4 ","347,948.8 ","1,906.9 ","6,133.9 ","4,227.0 ","349,855.7 ",,"347,519.0 ","261,971.1 ","85,653.5 ",,"100,679.3 ",,"336,025.1 ",,,
4- 6.,"341,625.2 ","193,457.0 ","190,364.0 ","160,084.7 ","24,311.1 ","51,300.1 ","1,350.4 ","56,751.5 ","30,812.3 ",-315.1 ,"-4,115.2 ","23,383.2 ","27,498.4 ","-11,927.0 ",,"12,434.3 ","354,059.5 ","2,114.9 ","6,502.9 ","4,388.0 ","356,174.4 ",,"355,861.2 ","269,269.8 ","86,586.0 ",,"103,835.7 ",,"340,083.6 ",,,
7- 9.,"347,908.1 ","196,329.9 ","193,245.0 ","162,687.5 ","26,075.4 ","52,668.7 ",990.3 ,"57,034.8 ","32,355.8 ",-297.9 ,"-4,849.8 ","23,719.5 ","28,569.3 ","-12,399.3 ",,"12,281.4 ","360,189.6 ","2,944.7 ","7,928.5 ","4,983.8 ","363,134.3 ",,"363,060.1 ","274,641.7 ","88,420.1 ",,"108,061.9 ",,"346,770.3 ",,,
10-12.,"357,256.6 ","200,257.2 ","197,149.4 ","166,257.2 ","27,880.0 ","53,734.5 ","1,907.0 ","57,034.5 ","34,621.1 ",480.0 ,"-5,543.7 ","23,983.9 ","29,527.6 ","-13,113.9 ",,"12,988.7 ","370,245.3 ","2,929.2 ","8,487.8 ","5,558.6 ","373,174.5 ",,"373,586.5 ","282,321.2 ","91,298.0 ",,"112,583.1 ",,"354,440.7 ",,,
1988/ 1- 3.,"363,289.8 ","201,914.3 ","198,748.6 ","167,637.2 ","28,872.2 ","56,430.3 ","3,314.9 ","58,168.1 ","34,403.7 ",-219.9 ,"-7,125.6 ","24,129.6 ","31,255.2 ","-12,468.3 ",,"13,847.2 ","377,137.0 ","2,760.4 ","8,770.6 ","6,010.1 ","379,897.4 ",,"381,474.9 ","289,726.3 ","91,625.5 ",,"116,279.7 ",,"359,296.0 ",,,
4- 6.,"365,404.4 ","205,517.2 ","202,288.3 ","170,895.6 ","28,393.1 ","59,199.5 ",908.0 ,"58,617.2 ","33,778.4 ",-595.2 ,"-8,140.0 ","24,515.9 ","32,655.9 ","-12,273.9 ",,"14,012.7 ","379,417.1 ","2,336.6 ","8,790.2 ","6,453.6 ","381,753.7 ",,"384,476.0 ","293,094.2 ","91,140.5 ",,"118,574.7 ",,"364,596.7 ",,,
7- 9.,"372,085.9 ","206,342.2 ","203,073.6 ","171,474.5 ","27,786.9 ","62,987.3 ","2,272.8 ","59,077.7 ","33,172.8 ",-722.6 ,"-8,371.4 ","25,951.5 ","34,322.9 ","-10,459.7 ",,"14,720.8 ","386,806.7 ","3,157.2 ","10,603.8 ","7,446.6 ","389,963.9 ",,"390,987.8 ","299,674.4 ","90,894.5 ",,"121,951.4 ",,"369,726.8 ",,,
10-12.,"376,453.7 ","208,685.4 ","205,393.1 ","173,556.3 ","28,438.3 ","64,972.9 ","1,834.1 ","59,347.1 ","32,495.5 ",-770.9 ,"-8,127.3 ","26,168.1 ","34,295.5 ","-10,421.4 ",,"15,932.9 ","392,386.6 ","2,920.3 ","11,013.4 ","8,093.1 ","395,306.9 ",,"395,306.7 ","304,286.4 ","90,457.5 ",,"124,152.6 ",,"374,652.0 ",,,
1989/ 1- 3.,"384,375.0 ","214,155.9 ","210,859.8 ","178,639.7 ","28,777.5 ","67,904.7 ","1,146.9 ","59,728.1 ","34,007.9 ",-160.4 ,"-10,904.9 ","26,897.9 ","37,802.8 ","-10,280.8 ",,"16,886.0 ","401,261.0 ","2,663.9 ","11,718.9 ","9,055.0 ","403,924.9 ",,"405,884.8 ","312,493.1 ","92,809.3 ",,"129,032.3 ",,"382,946.3 ",,,
4- 6.,"380,256.6 ","210,969.4 ","207,707.1 ","175,430.6 ","28,133.0 ","65,874.8 ","2,516.2 ","60,096.7 ","33,160.8 ",-255.4 ,"-10,757.1 ","27,585.8 ","38,342.9 ","-9,481.8 ",,"15,827.1 ","396,083.7 ","2,387.0 ","12,890.9 ","10,503.9 ","398,470.7 ",,"400,927.0 ","308,142.3 ","92,267.7 ",,"125,471.4 ",,"377,282.0 ",,,
7- 9.,"386,101.3 ","215,700.6 ","212,470.1 ","179,835.1 ","27,784.0 ","67,488.7 ","1,765.1 ","60,353.4 ","34,454.7 ",-437.3 ,"-11,465.4 ","27,980.6 ","39,446.0 ","-9,542.6 ",,"16,012.0 ","402,113.2 ","3,867.6 ","14,988.9 ","11,121.4 ","405,980.8 ",,"407,600.8 ","313,405.3 ","93,660.8 ",,"128,126.3 ",,"384,124.9 ",,,
10-12.,"397,203.8 ","221,994.7 ","218,754.9 ","185,703.9 ","27,861.0 ","70,675.5 ","3,108.3 ","60,914.0 ","34,760.6 ",-100.1 ,"-12,535.7 ","27,997.8 ","40,533.6 ","-9,474.4 ",,"16,256.6 ","413,460.4 ","4,380.5 ","16,866.9 ","12,486.4 ","417,840.9 ",,"420,464.4 ","324,964.2 ","94,782.5 ",,"132,065.0 ",,"393,429.7 ",,,
